Row Labels,Number of Projects,Total Federal Funding
1989,223,"$39,330,072"
1990,410,"$74,252,855"
1991,253,"$16,124,599"
1992,847,"$48,585,949"
1993,595,"$180,163,210"
1994,"1,363","$875,684,853"
1995,445,"$163,461,047"
1996,"1,127","$262,939,590"
1997,"1,086","$216,092,379"
1998,"1,665","$444,894,036"
1999,834,"$199,019,058"
2000,759,"$95,973,931"
2001,"1,388","$715,945,788"
2002,"1,037","$109,968,969"
2003,"1,479","$252,025,135"
2004,"1,672","$476,352,327"
2005,"2,780","$2,563,751,921"
2006,934,"$265,593,969"
2007,"1,706","$300,989,342"
2008,"2,634","$1,286,640,031"
2009,"1,921","$443,244,016"
2010,"1,877","$465,423,295"
2011,"2,926","$822,963,839"
2012,"1,057","$237,493,360"
2013,"1,962","$1,961,482,121"
2014,"1,288","$300,546,488"
2015,"1,331","$345,570,218"
2016,"1,774","$604,363,743"
2017,"3,481","$2,467,870,742"
2018,"1,761","$798,221,674"
2019,"2,489","$1,067,119,664"
2020,"3,363","$1,854,942,639"
2021,"1,502","$550,153,158"
2022,"1,294","$635,097,955"
2023,"1,582","$463,501,900"
2024,"2,087","$315,408,404"
2025,390,"$45,114,953"
Grand Total,"55,322","$21,966,307,227"
